FL_DATE,FL_NUM,ORIGIN,DEST,CANCELLED
1/1/2011,6298,ABQ,SFO,0
1/3/2011,6298,ABQ,SFO,0
1/2/2011,6298,ABQ,SFO,0
1/7/2011,6471,ABQ,LAX,0
1/4/2011,6471,ABQ,LAX,0
1/5/2011,6471,ABQ,LAX,0
1/6/2011,6471,ABQ,LAX,0
1/25/2011,6471,ABQ,LAX,0
1/26/2011,6471,ABQ,LAX,0
1/27/2011,6471,ABQ,LAX,0
1/20/2011,6471,ABQ,LAX,0
1/21/2011,6471,ABQ,LAX,0
1/24/2011,6471,ABQ,LAX,0
1/18/2011,6471,ABQ,LAX,0
1/17/2011,6471,ABQ,LAX,0
1/19/2011,6471,ABQ,LAX,0
1/11/2011,6471,ABQ,LAX,0
1/10/2011,6471,ABQ,LAX,0
1/12/2011,6471,ABQ,LAX,0
1/13/2011,6471,ABQ,LAX,0
1/14/2011,6471,ABQ,LAX,0
1/28/2011,6471,ABQ,LAX,0
1/31/2011,6471,ABQ,LAX,0
1/22/2011,6471,ABQ,LAX,0
1/15/2011,6471,ABQ,LAX,0
1/29/2011,6471,ABQ,LAX,0
1/8/2011,6471,ABQ,LAX,0
1/3/2011,6536,ABQ,LAX,0
1/16/2011,6336,ABQ,SFO,0
1/9/2011,6336,ABQ,SFO,0
1/23/2011,6336,ABQ,SFO,0
1/30/2011,7034,ABQ,SFO,0
1/2/2011,6536,ABQ,LAX,0
1/4/2011,6695,ABQ,SFO,0
1/5/2011,6695,ABQ,SFO,0
1/17/2011,7034,ABQ,SFO,0
1/26/2011,7034,ABQ,SFO,0
1/25/2011,7034,ABQ,SFO,0
1/27/2011,7034,ABQ,SFO,0
1/24/2011,7034,ABQ,SFO,0
1/20/2011,7034,ABQ,SFO,0
1/21/2011,7034,ABQ,SFO,0
1/19/2011,7034,ABQ,SFO,0
1/14/2011,7034,ABQ,SFO,0
1/18/2011,7034,ABQ,SFO,0
1/7/2011,7034,ABQ,SFO,0
1/6/2011,7034,ABQ,SFO,0
1/10/2011,7034,ABQ,SFO,0
1/11/2011,7034,ABQ,SFO,0
1/13/2011,7034,ABQ,SFO,0
1/12/2011,7034,ABQ,SFO,0
1/28/2011,7034,ABQ,SFO,0
1/31/2011,7034,ABQ,SFO,0
1/22/2011,7034,ABQ,SFO,0
1/15/2011,7034,ABQ,SFO,0
1/8/2011,7034,ABQ,SFO,0
1/29/2011,7034,ABQ,SFO,0
1/2/2011,3042,ABQ,OAK,0
1/3/2011,2453,ABQ,LAX,0
1/3/2011,257,ABQ,OAK,0
1/4/2011,2453,ABQ,LAX,0
1/4/2011,257,ABQ,OAK,0
1/9/2011,2487,ABQ,LAX,0
1/9/2011,696,ABQ,OAK,0
1/10/2011,2487,ABQ,LAX,0
1/10/2011,2095,ABQ,OAK,0
1/11/2011,2487,ABQ,LAX,1
1/11/2011,2095,ABQ,OAK,0
1/12/2011,2487,ABQ,LAX,0
1/12/2011,2095,ABQ,OAK,0
1/13/2011,2487,ABQ,LAX,0
1/13/2011,2095,ABQ,OAK,0
1/14/2011,2487,ABQ,LAX,0
1/14/2011,2095,ABQ,OAK,0
1/16/2011,2487,ABQ,LAX,0
1/16/2011,696,ABQ,OAK,0
1/17/2011,2487,ABQ,LAX,0
1/17/2011,2095,ABQ,OAK,0
1/18/2011,2487,ABQ,LAX,0
1/18/2011,2095,ABQ,OAK,0
1/19/2011,2487,ABQ,LAX,0
1/19/2011,2095,ABQ,OAK,0
1/20/2011,2487,ABQ,LAX,0
1/20/2011,2095,ABQ,OAK,0
1/21/2011,2487,ABQ,LAX,0
1/21/2011,2095,ABQ,OAK,0
1/23/2011,2487,ABQ,LAX,0
1/23/2011,696,ABQ,OAK,0
1/24/2011,2487,ABQ,LAX,0
1/24/2011,2095,ABQ,OAK,0
1/25/2011,2487,ABQ,LAX,0
1/25/2011,2095,ABQ,OAK,0
1/26/2011,2487,ABQ,LAX,0
1/26/2011,2095,ABQ,OAK,0
1/27/2011,2487,ABQ,LAX,0
1/27/2011,2095,ABQ,OAK,0
1/28/2011,2487,ABQ,LAX,0
1/28/2011,2095,ABQ,OAK,0
1/30/2011,2487,ABQ,LAX,0
1/30/2011,696,ABQ,OAK,0
1/31/2011,2487,ABQ,LAX,0
1/31/2011,2095,ABQ,OAK,0
1/5/2011,1061,ABQ,LAX,0
1/5/2011,2356,ABQ,OAK,0
1/6/2011,1061,ABQ,LAX,0
1/6/2011,2356,ABQ,OAK,0
1/7/2011,1061,ABQ,LAX,0
1/7/2011,2356,ABQ,OAK,0
1/2/2011,1377,ABQ,LAX,0
1/3/2011,2294,ABQ,SAN,0
1/4/2011,2294,ABQ,SAN,0
1/10/2011,308,ABQ,SAN,0
1/11/2011,308,ABQ,SAN,0
1/12/2011,308,ABQ,SAN,0
1/13/2011,308,ABQ,SAN,0
1/14/2011,308,ABQ,SAN,0
1/17/2011,308,ABQ,SAN,0
1/18/2011,308,ABQ,SAN,0
1/19/2011,308,ABQ,SAN,0
1/20/2011,308,ABQ,SAN,0
1/21/2011,308,ABQ,SAN,0
1/24/2011,308,ABQ,SAN,0
1/25/2011,308,ABQ,SAN,0
1/26/2011,308,ABQ,SAN,0
1/27/2011,308,ABQ,SAN,0
1/28/2011,308,ABQ,SAN,0
1/31/2011,308,ABQ,SAN,0
1/15/2011,58,ABQ,LAX,0
1/15/2011,1040,ABQ,OAK,0
1/22/2011,58,ABQ,LAX,0
1/22/2011,1040,ABQ,OAK,0
1/29/2011,58,ABQ,LAX,0
1/29/2011,1040,ABQ,OAK,0
1/1/2011,2908,ABQ,LAX,0
1/1/2011,319,ABQ,OAK,0
1/8/2011,2908,ABQ,LAX,0
1/8/2011,1478,ABQ,OAK,0
1/5/2011,211,ABQ,SAN,0
1/6/2011,211,ABQ,SAN,0
1/7/2011,211,ABQ,SAN,0
1/2/2011,187,ABQ,SAN,0
1/1/2011,1689,ABQ,SAN,0
1/8/2011,1689,ABQ,SAN,0
1/4/2011,6472,ABQ,LAX,0
1/23/2011,6472,ABQ,LAX,0
1/16/2011,6472,ABQ,LAX,0
1/9/2011,6472,ABQ,LAX,0
1/30/2011,6472,ABQ,LAX,0
1/5/2011,6472,ABQ,LAX,0
1/24/2011,6472,ABQ,LAX,0
1/21/2011,6472,ABQ,LAX,0
1/20/2011,6472,ABQ,LAX,0
1/27/2011,6472,ABQ,LAX,0
1/26/2011,6472,ABQ,LAX,0
1/25/2011,6472,ABQ,LAX,0
1/19/2011,6472,ABQ,LAX,0
